# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
0 1100 20681.4 87825.6 -20796.8 756.857
100000 1087.39 36455 91668.1 -20063.6 748.177
200000 1079.93 10573 96032.2 -19942.7 743.048
300000 1088.45 24112.2 98436.3 -19559.2 748.91
400000 1071.83 7332.81 101574 -19467.9 737.473
500000 1088.47 -285.106 103079 -19420.5 748.925
600000 1096.08 -2912.86 103330 -19433.1 754.16
700000 1090.34 -1034.04 103032 -19441 750.207
800000 1075.44 573.445 102839 -19438 739.96
900000 1107.52 1148.62 102868 -19426.2 762.031
1000000 1080.98 474.29 102980 -19417.1 743.769
1100000 1087.89 -877.866 102999 -19444.3 748.525
1200000 1099.48 716.771 102921 -19427.4 756.502
1300000 1109.62 593.929 102876 -19435.4 763.474
1400000 1095.07 750.194 102880 -19428.5 753.464
1500000 1101.06 1149.01 102902 -19429.1 757.585
1600000 1103.9 -149.803 102898 -19445.7 759.541
1700000 1085.43 697.152 102865 -19434.5 746.834
1800000 1097.78 -374.65 102873 -19449.6 755.331
1900000 1073.32 -49.4156 102890 -19434.1 738.501
2000000 1085.5 902.851 102864 -19431.1 746.881
2100000 1067.16 -585.958 102818 -19458.2 734.26
2200000 1068.31 -274.091 102807 -19449.9 735.054
2300000 1060.97 861.74 102809 -19438.2 730.005
2400000 1089.49 1018.12 102809 -19433.3 749.627
2500000 1066.36 -104.056 102792 -19450.2 733.71
2600000 1087.47 -51.3031 102779 -19455.1 748.232
2700000 1094.33 862.03 102755 -19436.3 752.958
2800000 1054.05 -776.437 102775 -19460.5 725.239
2900000 1069.8 -88.1976 102752 -19451.6 736.079
3000000 1071.38 -115.493 102708 -19458.7 737.162
3100000 1048.54 -602.499 102714 -19470 721.448
3200000 1069.8 -838.401 102762 -19463.8 736.079
3300000 1068.8 -613.947 102732 -19465.4 735.387
3400000 1065.53 -499.607 102687 -19474.7 733.139
3500000 1070.18 898.178 102655 -19452.6 736.341
3600000 1078.88 382.203 102673 -19455.8 742.326
3700000 1083.55 -1378.36 102695 -19473.8 745.539
3800000 1081.73 1311.75 102666 -19444.2 744.284
3900000 1051.03 -546.361 102654 -19466.7 723.161
4000000 1072.08 488.258 102636 -19459 737.645
4100000 1063.91 1164.11 102629 -19448.1 732.026
4200000 1041.14 101.701 102624 -19461.6 716.358
4300000 1045.85 -578.04 102598 -19473.4 719.597
4400000 1063.59 772.883 102605 -19452.8 731.808
4500000 1049.76 -355.784 102625 -19465.7 722.292
4600000 1058.69 173.873 102589 -19465.8 728.435
4700000 1057.62 1092.41 102551 -19455.1 727.699
4800000 1066.86 317.107 102575 -19460.9 734.058
4900000 1041.95 -1073.07 102572 -19482.3 716.914
5000000 1065.84 449.828 102496 -19472 733.351
5100000 1040.35 21.9633 102485 -19475.7 715.812
5200000 1032.73 -791.308 102527 -19491.3 710.571
5300000 1047.33 716.862 102535 -19461.9 720.617
5400000 1063.95 911.077 102505 -19466.9 732.052
5500000 1040.39 -118.237 102471 -19480.2 715.841
5600000 1041.23 282.325 102474 -19476.7 716.422
5700000 1038.72 -660.2 102456 -19494.8 714.691
5800000 1049.32 217.371 102410 -19485.8 721.989
5900000 1045.94 744.601 102431 -19473.6 719.662
6000000 1037.24 421.746 102472 -19474.8 713.674
6100000 1050.78 59.9929 102433 -19480.5 722.993
6200000 1040.77 -28.8591 102376 -19490.1 716.105
6300000 1050.53 769.334 102365 -19481.6 722.817
6400000 1028.28 196.454 102411 -19478.8 707.507
6500000 1028.2 -506.702 102413 -19489.4 707.455
6600000 1027.59 0.641276 102339 -19490.2 707.032
6700000 1027.02 -362.688 102314 -19503.7 706.644
6800000 1019.22 495.648 102333 -19487.8 701.275
6900000 1027.55 -716.35 102395 -19501.4 707.009
7000000 1011.1 -493.245 102335 -19500.8 695.692
7100000 1017.68 -80.8118 102231 -19503.1 700.217
7200000 1012.09 -12.175 102257 -19498.3 696.374
7300000 1033.62 -121.048 102366 -19494.5 711.187
7400000 1018.95 -53.5576 102374 -19497.1 701.091
7500000 1035.49 908.253 102214 -19499 712.471
7600000 1029.43 1387.17 102100 -19495 708.301
7700000 1010.78 150.838 102252 -19502 695.472
7800000 1019.54 -1170.26 102420 -19502.9 701.496
7900000 1034.59 230.917 102280 -19499.6 711.852
8000000 1024.12 876.819 102000 -19514.8 704.65
8100000 1030.44 921.734 102067 -19512.3 708.997
8200000 1016.47 -1597.64 102426 -19505.1 699.386
8300000 1024.82 -591.946 102433 -19488.1 705.13
8400000 1029.72 1579.93 102006 -19509.6 708.5
8500000 1028.62 1973.7 101847 -19522.4 707.743
8600000 1009.14 -49.0942 102274 -19498.9 694.339
8700000 1010.23 -1435.02 102594 -19488.4 695.091
8800000 1011.3 -1211.52 102200 -19520.8 695.825
8900000 1016.8 2097.64 101665 -19531.2 699.609
9000000 993.842 1648.33 101883 -19523.7 683.814
9100000 1008.22 -2177.39 102505 -19500.3 693.705
9200000 998.857 -2225.11 102454 -19508.8 687.265
9300000 973.524 165.653 101818 -19536.7 669.835
9400000 1005.73 1616.47 101636 -19542.7 691.996
9500000 1012.23 -366.664 102136 -19517.4 696.467
9600000 1013.62 -2825.21 102477 -19518 697.42
9700000 1002.79 43.0767 102148 -19516.6 689.972
9800000 1015.04 1883.74 101713 -19537.6 698.402
9900000 990.882 992.284 101843 -19530.9 681.778
10000000 1009.64 -1918.07 102250 -19524.6 694.687
10100000 984.099 -1157.98 102210 -19522.8 677.111
10200000 993.306 1231.43 101843 -19524.7 683.446
10300000 994.948 1638.89 101752 -19531.2 684.576
10400000 984.976 -343.393 102028 -19525.1 677.714
10500000 979.635 -1757.58 102166 -19532.2 674.04
10600000 1008.53 789.733 101967 -19523.9 693.923
10700000 1002.01 509.376 101787 -19548.2 689.435
10800000 994.941 824.507 101833 -19535.5 684.571
10900000 990.163 -1418.04 102012 -19545.5 681.284
11000000 983.504 -2390.96 102020 -19556.4 676.702
11100000 1007.44 956.409 101828 -19536.2 693.171
11200000 1021.57 780.047 101798 -19542.5 702.892
11300000 988.795 698.276 101899 -19531.7 680.342
11400000 990.396 892.96 101943 -19523.7 681.444
11500000 994.662 -772.189 101837 -19554.1 684.379
11600000 964.948 489.372 101754 -19543.1 663.934
11700000 981.762 427.579 101813 -19545.1 675.503
11800000 976.7 -334.56 101888 -19539.9 672.02
11900000 998.307 -242.029 101829 -19553.5 686.887
12000000 976.623 270.427 101744 -19547.1 671.967
12100000 958.12 -239.892 101775 -19548.3 659.236
12200000 979.128 -497.353 101818 -19559.1 673.691
12300000 972.339 -989.505 101793 -19555.7 669.02
12400000 978.325 -228.641 101756 -19557.5 673.138
12500000 966.822 -882.27 101718 -19570.7 665.224
12600000 977.892 593.452 101677 -19553.2 672.84
12700000 971.043 -768.259 101721 -19559.1 668.128
12800000 980.765 -522.269 101786 -19549.7 674.817
12900000 982.917 -1079.39 101749 -19562.6 676.298
13000000 975.865 199.765 101633 -19560.3 671.446
13100000 981.24 376.313 101586 -19562.4 675.144
13200000 981.7 -29.3148 101695 -19559.6 675.46
13300000 962.113 -1466.12 101764 -19570.1 661.984
13400000 969.245 -138.122 101641 -19564.8 666.89
13500000 956.612 1157.73 101539 -19557.6 658.199
13600000 934.15 210.381 101603 -19567.5 642.743
13700000 970.389 -1563.37 101678 -19587 667.678
13800000 978.102 -13.1216 101643 -19560.3 672.985
13900000 951.834 290.397 101547 -19566.6 654.911
14000000 975.088 365.38 101528 -19576.3 670.911
14100000 954.258 -182.739 101581 -19568.5 656.579
14200000 972.862 850.706 101601 -19559.7 669.379
14300000 963.943 -70.4501 101544 -19570.8 663.242
14400000 955.306 -233.215 101510 -19576.7 657.3
14500000 968.249 39.7828 101491 -19579.3 666.205
14600000 959.314 1253.13 101513 -19569.6 660.058
14700000 950.883 -293.541 101564 -19572.1 654.256
14800000 949.822 213.112 101538 -19570.3 653.527
14900000 961.692 -219.645 101430 -19583.7 661.694
15000000 964.309 26.0791 101425 -19584.5 663.495
15100000 930.461 -1262.49 101481 -19596.9 640.205
15200000 945.031 -202.804 101504 -19580.4 650.23
15300000 950.745 -371.969 101435 -19590 654.162
15400000 943.085 619.534 101344 -19587.8 648.891
15500000 959.624 608.827 101399 -19585 660.271
15600000 956.82 -283.461 101511 -19584.1 658.341
15700000 936.174 476.96 101432 -19576.8 644.136
15800000 956.367 436.582 101249 -19594.6 658.03
15900000 937.34 1358.32 101251 -19581.1 644.939
16000000 942.3 -310.431 101503 -19584.5 648.351
16100000 942.537 -807.294 101510 -19581.1 648.514
16200000 942.178 755.125 101183 -19604.7 648.267
16300000 932.517 1818.61 101072 -19594.8 641.62
16400000 936.617 -811.151 101395 -19598.8 644.441
16500000 953.296 -1742.4 101651 -19588.8 655.917
16600000 932.093 -1086.89 101329 -19604.9 641.329
16700000 929.663 2381.36 100874 -19608.9 639.656
16800000 926.594 1114.41 101099 -19605.4 637.545
16900000 928.841 -913.285 101651 -19579.8 639.09
17000000 943.16 -1765.48 101620 -19592.5 648.943
17100000 928.33 1139.95 100957 -19620.4 638.739
17200000 918.047 2815.87 100743 -19619.7 631.664
17300000 926.661 -495.909 101346 -19601.8 637.591
17400000 928.333 -2627.99 101719 -19588.4 638.741
17500000 930.764 -887.953 101276 -19610.2 640.414
17600000 900.972 835.285 100754 -19638.3 619.915
17700000 905.27 1161.62 100940 -19618.2 622.872
17800000 917.36 -774.34 101427 -19601.5 631.191
17900000 922.323 -1417.11 101417 -19605 634.606
18000000 909.982 808.299 101017 -19613.6 626.114
18100000 910.977 878.297 100858 -19630.8 626.8
18200000 924.541 -282.238 101133 -19615.7 636.132
18300000 933.082 -1448.51 101331 -19617.6 642.009
18400000 927.736 114.686 101158 -19617.8 638.33
18500000 911.501 1298.62 100915 -19624.3 627.16
18600000 903.699 -137.585 100938 -19641.8 621.792
18700000 906.355 -925.865 101153 -19627.2 623.619
18800000 913.57 -558.598 101218 -19614.6 628.583
18900000 900.565 -762.293 101008 -19637 619.635
19000000 908.506 539.002 100875 -19636.4 625.099
19100000 897.013 284.804 100997 -19622.6 617.192
19200000 915.796 -349.971 101110 -19628.6 630.115
19300000 906.664 37.3377 101038 -19625.6 623.832
19400000 911.93 682.971 100907 -19631.1 627.455
19500000 903.213 629.89 100924 -19628.3 621.457
19600000 897.882 -658.83 101019 -19636.3 617.79
19700000 898.209 -983.262 101033 -19640.3 618.015
19800000 897.068 16.0456 100919 -19636.8 617.229
19900000 913.156 547.741 100868 -19635.4 628.299
20000000 907.634 386.74 100927 -19631 624.499
20100000 896.586 -344.01 100968 -19631.9 616.898
20200000 876.335 -1157.86 100908 -19652 602.964
20300000 911.687 607.925 100848 -19638 627.288
20400000 910.555 -279.574 100863 -19645.7 626.509
20500000 897.016 -263.024 100906 -19644.4 617.193
20600000 900.806 -250.253 100880 -19646.2 619.801
20700000 894.698 -289.098 100800 -19645.8 615.598
20800000 911.873 803.098 100761 -19641.1 627.416
20900000 893.022 -393.609 100830 -19650.2 614.445
21000000 886.832 357.038 100909 -19639.1 610.186
21100000 905.425 319.048 100815 -19641.9 622.979
21200000 893.435 340.845 100711 -19652.8 614.73
21300000 877.926 947.12 100737 -19641.7 604.059
21400000 894.087 172.52 100838 -19640.9 615.178
21500000 866.503 -745.493 100797 -19660.4 596.199
21600000 897.68 -151.32 100673 -19659.9 617.65
21700000 893.425 -199.55 100691 -19668.5 614.723
21800000 879.903 43.3757 100742 -19653 605.419
21900000 879.959 -47.3309 100730 -19655.3 605.458
22000000 881.267 161.042 100663 -19665.6 606.357
22100000 873.093 137.103 100666 -19659 600.733
22200000 877.242 -817.984 100722 -19668.1 603.588
22300000 874.683 -287.268 100700 -19657.2 601.827
22400000 883.512 794.522 100596 -19659.7 607.902
22500000 878.739 -270.079 100576 -19673.6 604.618
22600000 864.695 -177.771 100639 -19660.5 594.955
22700000 892.896 292.342 100697 -19661.5 614.358
22800000 864.946 -608.641 100625 -19673 595.127
22900000 873.63 668.57 100515 -19672.2 601.102
23000000 867.993 680.334 100498 -19669.9 597.224
23100000 866.797 -817.958 100621 -19676.1 596.401
23200000 862.827 -838.93 100689 -19672.5 593.67
23300000 884.585 789.533 100559 -19666.9 608.64
23400000 849.701 953.71 100413 -19668.8 584.638
23500000 863.154 -712.728 100496 -19687.3 593.894
23600000 862.621 -205.704 100650 -19660.4 593.528
23700000 855.835 -1152.91 100617 -19681 588.859
23800000 851.202 -245.436 100410 -19684.8 585.671
23900000 867.122 487.779 100330 -19693.8 596.625
24000000 849.719 -295.816 100498 -19684.4 584.651
24100000 862.154 -426.961 100625 -19673.9 593.207
24200000 875.692 -1029.22 100469 -19696.9 602.521
24300000 836.859 946.214 100228 -19690.4 575.802
24400000 848.893 -92.2877 100298 -19697.8 584.082
24500000 845.897 -1009.34 100594 -19678.4 582.021
24600000 869.814 -563.937 100632 -19668.8 598.477
24700000 861.394 1674.46 100275 -19678 592.684
24800000 846.028 1942.18 100067 -19694.9 582.111
24900000 852.424 -83.7204 100405 -19694.1 586.512
25000000 869.651 -2331.58 100760 -19682.9 598.365
25100000 848.129 -335.786 100446 -19684 583.557
25200000 858.175 1016.04 99946.2 -19722.6 590.469
25300000 838.992 1280.48 100069 -19704.7 577.27
25400000 843.073 -1704.33 100623 -19689.4 580.078
25500000 850.989 -2800.13 100682 -19695.9 585.524
25600000 836.71 756.791 100111 -19706.6 575.7
25700000 854.207 2012.57 99872 -19712.5 587.739
25800000 844.828 -23.5231 100299 -19703.5 581.285
25900000 847.583 -2128.89 100627 -19691.9 583.181
26000000 842.929 -452.462 100335 -19705.4 579.979
