atom x[N] y[N] z[N]
106 -1.46316e-13 -5.01367e-13 -8.28433e-13 
107 -1.3971e-13 -5.15962e-13 -8.50519e-13 
108 -1.4913e-13 -5.23331e-13 -8.64521e-13 
109 -1.50535e-13 -5.21895e-13 -8.66371e-13 
110 -1.51942e-13 -5.29264e-13 -8.60273e-13 
111 -1.45336e-13 -5.43855e-13 -8.82354e-13 
112 -1.54756e-13 -5.51222e-13 -8.96355e-13 
113 -1.5616e-13 -5.49784e-13 -8.98203e-13 
114 -1.57566e-13 -5.5715e-13 -8.921e-13 
115 -1.5096e-13 -5.71738e-13 -9.14177e-13 
116 -1.60378e-13 -5.79101e-13 -9.28178e-13 
117 -1.61781e-13 -5.77662e-13 -9.30024e-13 
118 -1.63187e-13 -5.85026e-13 -9.23916e-13 
119 -1.56582e-13 -5.9961e-13 -9.45988e-13 
120 -1.65998e-13 -6.06971e-13 -9.59988e-13 
121 -1.67401e-13 -6.0553e-13 -9.61832e-13 
122 -1.68807e-13 -6.1289e-13 -9.55719e-13 
123 -1.62202e-13 -6.27471e-13 -9.77786e-13 
124 -1.71617e-13 -6.34829e-13 -9.91786e-13 
125 -1.7302e-13 -6.33387e-13 -9.93628e-13 
126 -1.74425e-13 -6.40745e-13 -9.87511e-13 
127 -1.67821e-13 -6.55322e-13 -1.00957e-12 
128 -1.77234e-13 -6.62677e-13 -1.02357e-12 
129 -1.78636e-13 -6.61233e-13 -1.02541e-12 
130 -1.80041e-13 -6.68589e-13 -1.01929e-12 
131 -1.73437e-13 -6.83162e-13 -1.04135e-12 
132 -1.82849e-13 -6.90515e-13 -1.05535e-12 
133 -1.8425e-13 -6.89069e-13 -1.05718e-12 
134 -1.85654e-13 -6.96422e-13 -1.05106e-12 
135 -1.7905e-13 -7.10992e-13 -1.07311e-12 
136 -1.8846e-13 -7.18342e-13 -1.08711e-12 
137 -1.89862e-13 -7.16895e-13 -1.08894e-12 
138 -1.91265e-13 -7.24245e-13 -1.08281e-12 
139 -1.84663e-13 -7.38811e-13 -1.10486e-12 
140 -1.94072e-13 -7.46158e-13 -1.11886e-12 
141 -1.95473e-13 -7.44709e-13 -1.12069e-12 
142 -1.96876e-13 -7.52057e-13 -1.11456e-12 
143 -1.90274e-13 -7.66619e-13 -1.1366e-12 
144 -1.99683e-13 -7.73964e-13 -1.1506e-12 
145 -2.01085e-13 -7.72514e-13 -1.15243e-12 
146 -2.02491e-13 -7.79859e-13 -1.14629e-12 
147 -1.9589e-13 -7.94417e-13 -1.16833e-12 
148 -2.05303e-13 -8.0176e-13 -1.18232e-12 
149 -2.06726e-13 -8.00306e-13 -1.18415e-12 
150 -2.08152e-13 -8.0765e-13 -1.17801e-12 
151 -2.01558e-13 -8.22205e-13 -1.20004e-12 
152 -2.11059e-13 -8.29554e-13 -1.21405e-12 
153 -2.12994e-13 -8.28017e-13 -1.21596e-12 
154 -2.14935e-13 -8.35439e-13 -1.20972e-12 
155 -2.08433e-13 -8.49982e-13 -1.23174e-12 
156 -2.24411e-13 -8.57949e-13 -1.24637e-12 
157 -2.16422e-13 -8.63878e-13 -1.24081e-12 
158 -2.08391e-13 -8.63828e-13 -1.24205e-12 
159 -2.08364e-13 -8.77745e-13 -1.26343e-12 
160 -2.08388e-13 -8.91537e-13 -1.28493e-12 
161 -2.16322e-13 -8.90451e-13 -1.28614e-12 
162 -2.24313e-13 -8.96229e-13 -1.28048e-12 
163 -2.08363e-13 -9.03131e-13 -1.29511e-12 
164 -2.18262e-13 -9.09451e-13 -1.30916e-12 
165 -2.19761e-13 -9.07728e-13 -1.31099e-12 
166 -2.21258e-13 -9.14124e-13 -1.3047e-12 
167 -2.15194e-13 -9.28474e-13 -1.32678e-12 
168 -2.24621e-13 -9.34875e-13 -1.3409e-12 
169 -2.26026e-13 -9.33142e-13 -1.34274e-12 
