atom x[N] y[N] z[N]
8092 -6.59439e-12 -3.10921e-11 -4.12787e-11 
8093 -6.59479e-12 -3.10879e-11 -4.1286e-11 
8094 -6.59518e-12 -3.10903e-11 -4.12861e-11 
8095 -6.58958e-12 -3.10981e-11 -4.12883e-11 
8096 -6.59598e-12 -3.11006e-11 -4.12856e-11 
8097 -6.59638e-12 -3.10964e-11 -4.12929e-11 
8098 -6.59677e-12 -3.10988e-11 -4.1293e-11 
8099 -6.59117e-12 -3.11066e-11 -4.12952e-11 
8100 -6.59757e-12 -3.1109e-11 -4.12925e-11 
8101 -6.59796e-12 -3.11048e-11 -4.12998e-11 
8102 -6.59836e-12 -3.11072e-11 -4.12999e-11 
8103 -6.59275e-12 -3.1115e-11 -4.13021e-11 
8104 -6.59915e-12 -3.11175e-11 -4.12994e-11 
8105 -6.59955e-12 -3.11133e-11 -4.13067e-11 
8106 -6.59994e-12 -3.11157e-11 -4.13068e-11 
8107 -6.59434e-12 -3.11235e-11 -4.1309e-11 
8108 -6.60073e-12 -3.11259e-11 -4.13063e-11 
8109 -6.60113e-12 -3.11217e-11 -4.13136e-11 
8110 -6.60152e-12 -3.11241e-11 -4.13137e-11 
8111 -6.59592e-12 -3.11319e-11 -4.13159e-11 
8112 -6.60231e-12 -3.11344e-11 -4.13132e-11 
8113 -6.60271e-12 -3.11301e-11 -4.13204e-11 
8114 -6.6031e-12 -3.11325e-11 -4.13206e-11 
8115 -6.5975e-12 -3.11404e-11 -4.13227e-11 
8116 -6.60389e-12 -3.11428e-11 -4.132e-11 
8117 -6.60428e-12 -3.11386e-11 -4.13273e-11 
8118 -6.60468e-12 -3.1141e-11 -4.13274e-11 
8119 -6.59907e-12 -3.11488e-11 -4.13296e-11 
8120 -6.60547e-12 -3.11512e-11 -4.13269e-11 
8121 -6.60586e-12 -3.1147e-11 -4.13341e-11 
8122 -6.60625e-12 -3.11494e-11 -4.13343e-11 
8123 -6.60065e-12 -3.11572e-11 -4.13364e-11 
8124 -6.60704e-12 -3.11596e-11 -4.13337e-11 
8125 -6.60743e-12 -3.11554e-11 -4.1341e-11 
8126 -6.60782e-12 -3.11578e-11 -4.13411e-11 
8127 -6.60222e-12 -3.11656e-11 -4.13432e-11 
8128 -6.60861e-12 -3.1168e-11 -4.13405e-11 
8129 -6.609e-12 -3.11638e-11 -4.13478e-11 
8130 -6.60939e-12 -3.11661e-11 -4.13479e-11 
8131 -6.60379e-12 -3.11739e-11 -4.13501e-11 
8132 -6.61018e-12 -3.11764e-11 -4.13474e-11 
8133 -6.61057e-12 -3.11721e-11 -4.13546e-11 
8134 -6.61096e-12 -3.11745e-11 -4.13547e-11 
8135 -6.60536e-12 -3.11823e-11 -4.13569e-11 
8136 -6.61175e-12 -3.11847e-11 -4.13542e-11 
8137 -6.61214e-12 -3.11805e-11 -4.13614e-11 
8138 -6.61253e-12 -3.11829e-11 -4.13615e-11 
8139 -6.60692e-12 -3.11907e-11 -4.13637e-11 
8140 -6.61331e-12 -3.11931e-11 -4.1361e-11 
8141 -6.6137e-12 -3.11889e-11 -4.13682e-11 
8142 -6.61409e-12 -3.11912e-11 -4.13683e-11 
8143 -6.60849e-12 -3.1199e-11 -4.13704e-11 
8144 -6.61488e-12 -3.12014e-11 -4.13677e-11 
8145 -6.61527e-12 -3.11972e-11 -4.1375e-11 
8146 -6.61566e-12 -3.11996e-11 -4.13751e-11 
8147 -6.61006e-12 -3.12074e-11 -4.13772e-11 
8148 -6.61645e-12 -3.12098e-11 -4.13745e-11 
8149 -6.61685e-12 -3.12055e-11 -4.13817e-11 
8150 -6.61726e-12 -3.12079e-11 -4.13819e-11 
8151 -6.61167e-12 -3.12157e-11 -4.1384e-11 
8152 -6.61812e-12 -3.12181e-11 -4.13813e-11 
8153 -6.61891e-12 -3.12138e-11 -4.13886e-11 
8154 -6.6197e-12 -3.12162e-11 -4.13886e-11 
8155 -6.61418e-12 -3.1224e-11 -4.13907e-11 
8156 -6.62549e-12 -3.12269e-11 -4.13885e-11 
8157 -6.61884e-12 -3.12282e-11 -4.13902e-11 
8158 -6.61217e-12 -3.1225e-11 -4.13958e-11 
8159 -6.61148e-12 -3.12323e-11 -4.13975e-11 
8160 -6.61084e-12 -3.12395e-11 -4.14003e-11 
8161 -6.61613e-12 -3.12356e-11 -4.14071e-11 
8162 -6.62144e-12 -3.12368e-11 -4.14076e-11 
8163 -6.60886e-12 -3.12388e-11 -4.14042e-11 
8164 -6.6156e-12 -3.12405e-11 -4.14015e-11 
8165 -6.61606e-12 -3.1236e-11 -4.14087e-11 
8166 -6.61652e-12 -3.12377e-11 -4.14087e-11 
8167 -6.61132e-12 -3.12453e-11 -4.14109e-11 
8168 -6.61772e-12 -3.1247e-11 -4.14082e-11 
8169 -6.61811e-12 -3.12426e-11 -4.14155e-11 
8170 -6.61851e-12 -3.12443e-11 -4.14155e-11 
8171 -6.61292e-12 -3.12518e-11 -4.14176e-11 
8172 -6.6193e-12 -3.12535e-11 -4.14149e-11 
8173 -6.61969e-12 -3.12491e-11 -4.14222e-11 
8174 -6.62008e-12 -3.12507e-11 -4.14222e-11 
8175 -6.61448e-12 -3.12583e-11 -4.14243e-11 
8176 -6.62085e-12 -3.126e-11 -4.14216e-11 
8177 -6.62124e-12 -3.12555e-11 -4.14289e-11 
8178 -6.62163e-12 -3.12572e-11 -4.14289e-11 
8179 -6.61603e-12 -3.12647e-11 -4.14309e-11 
8180 -6.6224e-12 -3.12664e-11 -4.14283e-11 
8181 -6.62279e-12 -3.1262e-11 -4.14355e-11 
8182 -6.62317e-12 -3.12637e-11 -4.14355e-11 
8183 -6.61757e-12 -3.12712e-11 -4.14376e-11 
8184 -6.62394e-12 -3.12729e-11 -4.1435e-11 
8185 -6.62433e-12 -3.12684e-11 -4.14422e-11 
8186 -6.62471e-12 -3.12701e-11 -4.14422e-11 
8187 -6.61912e-12 -3.12776e-11 -4.14443e-11 
8188 -6.62549e-12 -3.12793e-11 -4.14416e-11 
8189 -6.62587e-12 -3.12749e-11 -4.14488e-11 
8190 -6.62625e-12 -3.12765e-11 -4.14488e-11 
8191 -6.62066e-12 -3.12841e-11 -4.14509e-11 
8192 -6.62702e-12 -3.12857e-11 -4.14483e-11 
8193 -6.62741e-12 -3.12813e-11 -4.14555e-11 
8194 -6.62779e-12 -3.1283e-11 -4.14555e-11 
8195 -6.6222e-12 -3.12905e-11 -4.14575e-11 
8196 -6.62856e-12 -3.12922e-11 -4.14549e-11 
8197 -6.62894e-12 -3.12877e-11 -4.14621e-11 
8198 -6.62933e-12 -3.12894e-11 -4.14621e-11 
8199 -6.62373e-12 -3.12969e-11 -4.14641e-11 
8200 -6.6301e-12 -3.12986e-11 -4.14615e-11 
8201 -6.63048e-12 -3.12941e-11 -4.14687e-11 
8202 -6.63086e-12 -3.12958e-11 -4.14687e-11 
8203 -6.62527e-12 -3.13033e-11 -4.14708e-11 
8204 -6.63163e-12 -3.1305e-11 -4.14681e-11 
8205 -6.63201e-12 -3.13005e-11 -4.14753e-11 
8206 -6.63239e-12 -3.13022e-11 -4.14753e-11 
8207 -6.6268e-12 -3.13097e-11 -4.14773e-11 
8208 -6.63316e-12 -3.13114e-11 -4.14747e-11 
8209 -6.63354e-12 -3.13069e-11 -4.14819e-11 
8210 -6.63392e-12 -3.13086e-11 -4.14819e-11 
8211 -6.62833e-12 -3.13161e-11 -4.14839e-11 
8212 -6.63469e-12 -3.13177e-11 -4.14813e-11 
8213 -6.63507e-12 -3.13133e-11 -4.14885e-11 
8214 -6.63545e-12 -3.1315e-11 -4.14884e-11 
8215 -6.62986e-12 -3.13225e-11 -4.14905e-11 
8216 -6.63621e-12 -3.13241e-11 -4.14878e-11 
8217 -6.63659e-12 -3.13197e-11 -4.1495e-11 
8218 -6.63698e-12 -3.13213e-11 -4.1495e-11 
8219 -6.63138e-12 -3.13288e-11 -4.14971e-11 
8220 -6.63774e-12 -3.13305e-11 -4.14944e-11 
8221 -6.63812e-12 -3.1326e-11 -4.15016e-11 
8222 -6.6385e-12 -3.13277e-11 -4.15015e-11 
8223 -6.63291e-12 -3.13352e-11 -4.15036e-11 
8224 -6.63926e-12 -3.13368e-11 -4.15009e-11 
8225 -6.63964e-12 -3.13324e-11 -4.15081e-11 
8226 -6.64003e-12 -3.1334e-11 -4.15081e-11 
8227 -6.63443e-12 -3.13415e-11 -4.15101e-11 
8228 -6.64079e-12 -3.13432e-11 -4.15075e-11 
8229 -6.64119e-12 -3.13387e-11 -4.15146e-11 
8230 -6.64159e-12 -3.13404e-11 -4.15146e-11 
8231 -6.636e-12 -3.13479e-11 -4.15167e-11 
8232 -6.64243e-12 -3.13495e-11 -4.1514e-11 
8233 -6.6432e-12 -3.1345e-11 -4.15212e-11 
8234 -6.64399e-12 -3.13467e-11 -4.15211e-11 
8235 -6.63847e-12 -3.13542e-11 -4.15232e-11 
8236 -6.64973e-12 -3.13563e-11 -4.1521e-11 
8237 -6.6431e-12 -3.13574e-11 -4.15226e-11 
8238 -6.63644e-12 -3.13535e-11 -4.15281e-11 
8239 -6.63575e-12 -3.13605e-11 -4.15297e-11 
8240 -6.6351e-12 -3.13676e-11 -4.15325e-11 
8241 -6.64036e-12 -3.13636e-11 -4.15392e-11 
8242 -6.64565e-12 -3.13647e-11 -4.15396e-11 
8243 -6.6331e-12 -3.13667e-11 -4.15362e-11 
8244 -6.63981e-12 -3.13682e-11 -4.15334e-11 
8245 -6.64026e-12 -3.13638e-11 -4.15406e-11 
8246 -6.64071e-12 -3.13654e-11 -4.15405e-11 
8247 -6.63552e-12 -3.13729e-11 -4.15426e-11 
8248 -6.64189e-12 -3.13745e-11 -4.15399e-11 
8249 -6.64227e-12 -3.137e-11 -4.15471e-11 
8250 -6.64265e-12 -3.13716e-11 -4.15471e-11 
8251 -6.63708e-12 -3.1379e-11 -4.15491e-11 
8252 -6.64343e-12 -3.13806e-11 -4.15464e-11 
8253 -6.6438e-12 -3.13762e-11 -4.15536e-11 
8254 -6.64418e-12 -3.13778e-11 -4.15535e-11 
8255 -6.6386e-12 -3.13852e-11 -4.15555e-11 
8256 -6.64494e-12 -3.13868e-11 -4.15529e-11 
8257 -6.64531e-12 -3.13823e-11 -4.156e-11 
8258 -6.64569e-12 -3.13839e-11 -4.15599e-11 
8259 -6.6401e-12 -3.13914e-11 -4.1562e-11 
8260 -6.64644e-12 -3.1393e-11 -4.15593e-11 
8261 -6.64682e-12 -3.13885e-11 -4.15664e-11 
8262 -6.6472e-12 -3.13901e-11 -4.15664e-11 
8263 -6.64161e-12 -3.13975e-11 -4.15684e-11 
8264 -6.64795e-12 -3.13991e-11 -4.15657e-11 
8265 -6.64832e-12 -3.13946e-11 -4.15729e-11 
8266 -6.6487e-12 -3.13962e-11 -4.15728e-11 
8267 -6.64311e-12 -3.14036e-11 -4.15748e-11 
8268 -6.64945e-12 -3.14052e-11 -4.15721e-11 
8269 -6.64982e-12 -3.14007e-11 -4.15793e-11 
8270 -6.6502e-12 -3.14023e-11 -4.15792e-11 
8271 -6.64461e-12 -3.14098e-11 -4.15812e-11 
8272 -6.65095e-12 -3.14113e-11 -4.15785e-11 
8273 -6.65132e-12 -3.14069e-11 -4.15857e-11 
8274 -6.65169e-12 -3.14084e-11 -4.15856e-11 
8275 -6.64611e-12 -3.14159e-11 -4.15876e-11 
8276 -6.65244e-12 -3.14175e-11 -4.15849e-11 
8277 -6.65282e-12 -3.1413e-11 -4.15921e-11 
8278 -6.65319e-12 -3.14145e-11 -4.1592e-11 
8279 -6.6476e-12 -3.1422e-11 -4.1594e-11 
8280 -6.65394e-12 -3.14236e-11 -4.15913e-11 
8281 -6.65431e-12 -3.14191e-11 -4.15984e-11 
8282 -6.65468e-12 -3.14206e-11 -4.15984e-11 
8283 -6.6491e-12 -3.14281e-11 -4.16004e-11 
8284 -6.65543e-12 -3.14296e-11 -4.15977e-11 
8285 -6.6558e-12 -3.14252e-11 -4.16048e-11 
8286 -6.65617e-12 -3.14267e-11 -4.16047e-11 
8287 -6.65059e-12 -3.14341e-11 -4.16067e-11 
8288 -6.65692e-12 -3.14357e-11 -4.1604e-11 
8289 -6.65729e-12 -3.14312e-11 -4.16111e-11 
8290 -6.65766e-12 -3.14328e-11 -4.16111e-11 
8291 -6.65208e-12 -3.14402e-11 -4.16131e-11 
8292 -6.65841e-12 -3.14418e-11 -4.16104e-11 
8293 -6.65878e-12 -3.14373e-11 -4.16175e-11 
8294 -6.65915e-12 -3.14389e-11 -4.16174e-11 
8295 -6.65357e-12 -3.14463e-11 -4.16194e-11 
8296 -6.65989e-12 -3.14479e-11 -4.16167e-11 
8297 -6.66026e-12 -3.14434e-11 -4.16238e-11 
8298 -6.66064e-12 -3.14449e-11 -4.16237e-11 
8299 -6.65505e-12 -3.14523e-11 -4.16257e-11 
8300 -6.66138e-12 -3.14539e-11 -4.1623e-11 
8301 -6.66175e-12 -3.14494e-11 -4.16301e-11 
8302 -6.66212e-12 -3.1451e-11 -4.163e-11 
8303 -6.65654e-12 -3.14584e-11 -4.1632e-11 
8304 -6.66286e-12 -3.146e-11 -4.16293e-11 
8305 -6.66323e-12 -3.14555e-11 -4.16364e-11 
8306 -6.66361e-12 -3.1457e-11 -4.16363e-11 
8307 -6.65802e-12 -3.14644e-11 -4.16383e-11 
8308 -6.66435e-12 -3.1466e-11 -4.16356e-11 
8309 -6.66474e-12 -3.14615e-11 -4.16427e-11 
8310 -6.66513e-12 -3.1463e-11 -4.16426e-11 
8311 -6.65955e-12 -3.14705e-11 -4.16446e-11 
8312 -6.66594e-12 -3.1472e-11 -4.16419e-11 
8313 -6.66671e-12 -3.14675e-11 -4.16491e-11 
8314 -6.66748e-12 -3.14691e-11 -4.16489e-11 
8315 -6.66197e-12 -3.14765e-11 -4.16509e-11 
8316 -6.67319e-12 -3.14785e-11 -4.16486e-11 
8317 -6.66657e-12 -3.14795e-11 -4.16502e-11 
8318 -6.65993e-12 -3.14755e-11 -4.16556e-11 
8319 -6.65923e-12 -3.14825e-11 -4.16571e-11 
8320 -6.65857e-12 -3.14895e-11 -4.16599e-11 
8321 -6.6638e-12 -3.14855e-11 -4.16665e-11 
8322 -6.66907e-12 -3.14865e-11 -4.16669e-11 
8323 -6.65655e-12 -3.14885e-11 -4.16634e-11 
8324 -6.66323e-12 -3.14899e-11 -4.16606e-11 
8325 -6.66367e-12 -3.14854e-11 -4.16677e-11 
8326 -6.66411e-12 -3.1487e-11 -4.16676e-11 
8327 -6.65893e-12 -3.14944e-11 -4.16696e-11 
8328 -6.66526e-12 -3.1496e-11 -4.16669e-11 
8329 -6.66564e-12 -3.14915e-11 -4.1674e-11 
8330 -6.66601e-12 -3.1493e-11 -4.16739e-11 
8331 -6.66045e-12 -3.15004e-11 -4.16758e-11 
8332 -6.66676e-12 -3.15019e-11 -4.16731e-11 
8333 -6.66713e-12 -3.14974e-11 -4.16802e-11 
8334 -6.6675e-12 -3.1499e-11 -4.16801e-11 
8335 -6.66192e-12 -3.15063e-11 -4.1682e-11 
8336 -6.66824e-12 -3.15079e-11 -4.16793e-11 
8337 -6.6686e-12 -3.15034e-11 -4.16864e-11 
8338 -6.66897e-12 -3.15049e-11 -4.16863e-11 
8339 -6.66339e-12 -3.15123e-11 -4.16883e-11 
8340 -6.6697e-12 -3.15138e-11 -4.16855e-11 
8341 -6.67007e-12 -3.15093e-11 -4.16926e-11 
8342 -6.67043e-12 -3.15108e-11 -4.16925e-11 
8343 -6.66485e-12 -3.15182e-11 -4.16944e-11 
8344 -6.67116e-12 -3.15197e-11 -4.16917e-11 
8345 -6.67153e-12 -3.15152e-11 -4.16988e-11 
8346 -6.67189e-12 -3.15168e-11 -4.16987e-11 
8347 -6.66632e-12 -3.15241e-11 -4.17006e-11 
8348 -6.67262e-12 -3.15257e-11 -4.16979e-11 
8349 -6.67299e-12 -3.15211e-11 -4.1705e-11 
8350 -6.67335e-12 -3.15227e-11 -4.17048e-11 
8351 -6.66778e-12 -3.153e-11 -4.17068e-11 
8352 -6.67408e-12 -3.15316e-11 -4.17041e-11 
8353 -6.67444e-12 -3.1527e-11 -4.17111e-11 
8354 -6.67481e-12 -3.15286e-11 -4.1711e-11 
8355 -6.66923e-12 -3.15359e-11 -4.17129e-11 
8356 -6.67554e-12 -3.15375e-11 -4.17102e-11 
8357 -6.6759e-12 -3.15329e-11 -4.17173e-11 
8358 -6.67626e-12 -3.15345e-11 -4.17171e-11 
8359 -6.67069e-12 -3.15418e-11 -4.17191e-11 
8360 -6.67699e-12 -3.15434e-11 -4.17163e-11 
8361 -6.67735e-12 -3.15388e-11 -4.17234e-11 
8362 -6.67772e-12 -3.15404e-11 -4.17233e-11 
8363 -6.67214e-12 -3.15477e-11 -4.17252e-11 
8364 -6.67844e-12 -3.15492e-11 -4.17225e-11 
8365 -6.6788e-12 -3.15447e-11 -4.17295e-11 
8366 -6.67917e-12 -3.15462e-11 -4.17294e-11 
8367 -6.67359e-12 -3.15536e-11 -4.17313e-11 
8368 -6.67989e-12 -3.15551e-11 -4.17286e-11 
8369 -6.68025e-12 -3.15506e-11 -4.17356e-11 
8370 -6.68062e-12 -3.15521e-11 -4.17355e-11 
8371 -6.67504e-12 -3.15594e-11 -4.17374e-11 
8372 -6.68134e-12 -3.1561e-11 -4.17347e-11 
8373 -6.6817e-12 -3.15564e-11 -4.17417e-11 
8374 -6.68206e-12 -3.1558e-11 -4.17416e-11 
8375 -6.67649e-12 -3.15653e-11 -4.17435e-11 
8376 -6.68279e-12 -3.15668e-11 -4.17408e-11 
8377 -6.68315e-12 -3.15623e-11 -4.17478e-11 
8378 -6.68351e-12 -3.15638e-11 -4.17477e-11 
8379 -6.67793e-12 -3.15711e-11 -4.17496e-11 
8380 -6.68423e-12 -3.15727e-11 -4.17469e-11 
8381 -6.68459e-12 -3.15681e-11 -4.17539e-11 
8382 -6.68495e-12 -3.15696e-11 -4.17538e-11 
8383 -6.67938e-12 -3.1577e-11 -4.17557e-11 
8384 -6.68567e-12 -3.15785e-11 -4.17529e-11 
8385 -6.68603e-12 -3.1574e-11 -4.176e-11 
8386 -6.6864e-12 -3.15755e-11 -4.17598e-11 
8387 -6.68083e-12 -3.15828e-11 -4.17617e-11 
8388 -6.68712e-12 -3.15843e-11 -4.1759e-11 
8389 -6.6875e-12 -3.15798e-11 -4.1766e-11 
8390 -6.68788e-12 -3.15813e-11 -4.17659e-11 
8391 -6.68231e-12 -3.15886e-11 -4.17678e-11 
8392 -6.68867e-12 -3.15901e-11 -4.1765e-11 
8393 -6.68943e-12 -3.15855e-11 -4.17721e-11 
8394 -6.69019e-12 -3.15871e-11 -4.17719e-11 
8395 -6.68469e-12 -3.15944e-11 -4.17738e-11 
8396 -6.69586e-12 -3.15964e-11 -4.17715e-11 
8397 -6.68925e-12 -3.15973e-11 -4.17731e-11 
8398 -6.68262e-12 -3.15934e-11 -4.17784e-11 
8399 -6.68192e-12 -3.16002e-11 -4.17798e-11 
8400 -6.68126e-12 -3.16072e-11 -4.17826e-11 
8401 -6.68646e-12 -3.16031e-11 -4.17891e-11 
8402 -6.6917e-12 -3.16041e-11 -4.17894e-11 
8403 -6.67922e-12 -3.1606e-11 -4.17859e-11 
8404 -6.68586e-12 -3.16074e-11 -4.1783e-11 
8405 -6.68629e-12 -3.16029e-11 -4.17901e-11 
8406 -6.68672e-12 -3.16044e-11 -4.17899e-11 
8407 -6.68155e-12 -3.16118e-11 -4.17919e-11 
8408 -6.68786e-12 -3.16133e-11 -4.17891e-11 
8409 -6.68822e-12 -3.16087e-11 -4.17961e-11 
8410 -6.68858e-12 -3.16102e-11 -4.17959e-11 
8411 -6.68303e-12 -3.16175e-11 -4.17979e-11 
8412 -6.68931e-12 -3.1619e-11 -4.17951e-11 
8413 -6.68967e-12 -3.16145e-11 -4.18021e-11 
8414 -6.69003e-12 -3.1616e-11 -4.18019e-11 
8415 -6.68446e-12 -3.16233e-11 -4.18038e-11 
8416 -6.69075e-12 -3.16248e-11 -4.18011e-11 
8417 -6.6911e-12 -3.16202e-11 -4.18081e-11 
8418 -6.69146e-12 -3.16217e-11 -4.18079e-11 
8419 -6.68589e-12 -3.1629e-11 -4.18098e-11 
8420 -6.69217e-12 -3.16305e-11 -4.1807e-11 
8421 -6.69252e-12 -3.1626e-11 -4.1814e-11 
8422 -6.69288e-12 -3.16275e-11 -4.18138e-11 
8423 -6.68731e-12 -3.16348e-11 -4.18157e-11 
8424 -6.69359e-12 -3.16363e-11 -4.1813e-11 
8425 -6.69395e-12 -3.16317e-11 -4.182e-11 
8426 -6.6943e-12 -3.16332e-11 -4.18198e-11 
8427 -6.68873e-12 -3.16405e-11 -4.18217e-11 
8428 -6.69501e-12 -3.1642e-11 -4.18189e-11 
8429 -6.69537e-12 -3.16374e-11 -4.18259e-11 
8430 -6.69572e-12 -3.16389e-11 -4.18257e-11 
8431 -6.69015e-12 -3.16462e-11 -4.18276e-11 
8432 -6.69643e-12 -3.16477e-11 -4.18248e-11 
8433 -6.69678e-12 -3.16431e-11 -4.18318e-11 
8434 -6.69714e-12 -3.16446e-11 -4.18316e-11 
8435 -6.69157e-12 -3.16519e-11 -4.18335e-11 
8436 -6.69785e-12 -3.16534e-11 -4.18308e-11 
8437 -6.6982e-12 -3.16488e-11 -4.18377e-11 
8438 -6.69855e-12 -3.16503e-11 -4.18376e-11 
8439 -6.69299e-12 -3.16576e-11 -4.18394e-11 
8440 -6.69926e-12 -3.16591e-11 -4.18367e-11 
8441 -6.69961e-12 -3.16545e-11 -4.18436e-11 
8442 -6.69996e-12 -3.1656e-11 -4.18434e-11 
8443 -6.6944e-12 -3.16633e-11 -4.18453e-11 
8444 -6.70067e-12 -3.16648e-11 -4.18426e-11 
8445 -6.70102e-12 -3.16602e-11 -4.18495e-11 
8446 -6.70137e-12 -3.16617e-11 -4.18493e-11 
8447 -6.69581e-12 -3.1669e-11 -4.18512e-11 
8448 -6.70208e-12 -3.16704e-11 -4.18484e-11 
8449 -6.70243e-12 -3.16659e-11 -4.18554e-11 
8450 -6.70278e-12 -3.16674e-11 -4.18552e-11 
8451 -6.69722e-12 -3.16746e-11 -4.18571e-11 
8452 -6.70349e-12 -3.16761e-11 -4.18543e-11 
8453 -6.70384e-12 -3.16716e-11 -4.18613e-11 
8454 -6.70419e-12 -3.1673e-11 -4.18611e-11 
8455 -6.69862e-12 -3.16803e-11 -4.18629e-11 
8456 -6.70489e-12 -3.16818e-11 -4.18602e-11 
8457 -6.70524e-12 -3.16772e-11 -4.18671e-11 
8458 -6.70559e-12 -3.16787e-11 -4.18669e-11 
8459 -6.70003e-12 -3.1686e-11 -4.18688e-11 
8460 -6.7063e-12 -3.16874e-11 -4.1866e-11 
8461 -6.70664e-12 -3.16829e-11 -4.1873e-11 
8462 -6.707e-12 -3.16843e-11 -4.18728e-11 
8463 -6.70143e-12 -3.16916e-11 -4.18746e-11 
8464 -6.7077e-12 -3.16931e-11 -4.18718e-11 
8465 -6.70805e-12 -3.16885e-11 -4.18788e-11 
8466 -6.7084e-12 -3.169e-11 -4.18786e-11 
8467 -6.70284e-12 -3.16972e-11 -4.18804e-11 
8468 -6.70911e-12 -3.16987e-11 -4.18777e-11 
8469 -6.70947e-12 -3.16941e-11 -4.18846e-11 
8470 -6.70984e-12 -3.16956e-11 -4.18844e-11 
8471 -6.70428e-12 -3.17028e-11 -4.18863e-11 
8472 -6.71062e-12 -3.17043e-11 -4.18835e-11 
8473 -6.71136e-12 -3.16997e-11 -4.18905e-11 
8474 -6.71211e-12 -3.17012e-11 -4.18902e-11 
8475 -6.70662e-12 -3.17084e-11 -4.1892e-11 
8476 -6.71774e-12 -3.17104e-11 -4.18897e-11 
8477 -6.71115e-12 -3.17113e-11 -4.18912e-11 
8478 -6.70453e-12 -3.17073e-11 -4.18965e-11 
8479 -6.70382e-12 -3.1714e-11 -4.18978e-11 
8480 -6.70316e-12 -3.17209e-11 -4.19005e-11 
8481 -6.70833e-12 -3.17168e-11 -4.1907e-11 
8482 -6.71354e-12 -3.17178e-11 -4.19072e-11 
8483 -6.70109e-12 -3.17196e-11 -4.19036e-11 
8484 -6.70771e-12 -3.1721e-11 -4.19008e-11 
8485 -6.70813e-12 -3.17165e-11 -4.19077e-11 
8486 -6.70855e-12 -3.17179e-11 -4.19075e-11 
8487 -6.70338e-12 -3.17252e-11 -4.19094e-11 
8488 -6.70966e-12 -3.17267e-11 -4.19066e-11 
8489 -6.71001e-12 -3.17221e-11 -4.19135e-11 
8490 -6.71036e-12 -3.17235e-11 -4.19133e-11 
8491 -6.70482e-12 -3.17308e-11 -4.19151e-11 
8492 -6.71108e-12 -3.17322e-11 -4.19123e-11 
8493 -6.71142e-12 -3.17277e-11 -4.19193e-11 
8494 -6.71177e-12 -3.17291e-11 -4.1919e-11 
8495 -6.70621e-12 -3.17363e-11 -4.19209e-11 
8496 -6.71247e-12 -3.17378e-11 -4.19181e-11 
8497 -6.71281e-12 -3.17332e-11 -4.1925e-11 
8498 -6.71316e-12 -3.17347e-11 -4.19248e-11 
8499 -6.7076e-12 -3.17419e-11 -4.19266e-11 
8500 -6.71385e-12 -3.17433e-11 -4.19238e-11 
8501 -6.7142e-12 -3.17388e-11 -4.19307e-11 
8502 -6.71454e-12 -3.17402e-11 -4.19305e-11 
8503 -6.70898e-12 -3.17474e-11 -4.19323e-11 
8504 -6.71523e-12 -3.17489e-11 -4.19295e-11 
8505 -6.71558e-12 -3.17443e-11 -4.19364e-11 
8506 -6.71592e-12 -3.17457e-11 -4.19362e-11 
8507 -6.71037e-12 -3.1753e-11 -4.1938e-11 
8508 -6.71661e-12 -3.17544e-11 -4.19352e-11 
8509 -6.71696e-12 -3.17498e-11 -4.19421e-11 
8510 -6.7173e-12 -3.17513e-11 -4.19419e-11 
8511 -6.71174e-12 -3.17585e-11 -4.19437e-11 
8512 -6.71799e-12 -3.17599e-11 -4.19409e-11 
8513 -6.71833e-12 -3.17554e-11 -4.19478e-11 
8514 -6.71868e-12 -3.17568e-11 -4.19476e-11 
8515 -6.71312e-12 -3.1764e-11 -4.19494e-11 
8516 -6.71937e-12 -3.17654e-11 -4.19466e-11 
8517 -6.71971e-12 -3.17609e-11 -4.19535e-11 
8518 -6.72005e-12 -3.17623e-11 -4.19532e-11 
8519 -6.71449e-12 -3.17695e-11 -4.19551e-11 
8520 -6.72074e-12 -3.17709e-11 -4.19522e-11 
8521 -6.72108e-12 -3.17664e-11 -4.19591e-11 
8522 -6.72142e-12 -3.17678e-11 -4.19589e-11 
8523 -6.71587e-12 -3.1775e-11 -4.19607e-11 
8524 -6.72211e-12 -3.17764e-11 -4.19579e-11 
8525 -6.72245e-12 -3.17718e-11 -4.19648e-11 
8526 -6.72279e-12 -3.17733e-11 -4.19645e-11 
8527 -6.71724e-12 -3.17805e-11 -4.19664e-11 
8528 -6.72348e-12 -3.17819e-11 -4.19635e-11 
8529 -6.72382e-12 -3.17773e-11 -4.19704e-11 
8530 -6.72416e-12 -3.17787e-11 -4.19702e-11 
8531 -6.71861e-12 -3.1786e-11 -4.1972e-11 
8532 -6.72485e-12 -3.17874e-11 -4.19692e-11 
8533 -6.72518e-12 -3.17828e-11 -4.19761e-11 
8534 -6.72553e-12 -3.17842e-11 -4.19758e-11 
8535 -6.71997e-12 -3.17914e-11 -4.19776e-11 
8536 -6.72621e-12 -3.17928e-11 -4.19748e-11 
8537 -6.72655e-12 -3.17883e-11 -4.19817e-11 
8538 -6.72689e-12 -3.17897e-11 -4.19814e-11 
8539 -6.72134e-12 -3.17969e-11 -4.19832e-11 
8540 -6.72757e-12 -3.17983e-11 -4.19804e-11 
8541 -6.72791e-12 -3.17937e-11 -4.19873e-11 
8542 -6.72825e-12 -3.17951e-11 -4.1987e-11 
