atom x[m] y[m] z[m]
150 1.425e-09 1.14e-09 8.55e-10 
151 1.14e-09 1.425e-09 8.55e-10 
152 1.71e-09 1.14e-09 5.7e-10 
153 1.995e-09 1.425e-09 5.7e-10 
154 1.995e-09 1.14e-09 8.55e-10 
155 1.71e-09 1.425e-09 8.55e-10 
156 2.28e-09 1.14e-09 5.7e-10 
157 2.565e-09 1.425e-09 5.7e-10 
158 2.565e-09 1.14e-09 8.55e-10 
159 2.28e-09 1.425e-09 8.55e-10 
160 0 1.71e-09 5.7e-10 
161 2.85e-10 1.995e-09 5.7e-10 
162 2.85e-10 1.71e-09 8.55e-10 
163 0 1.995e-09 8.55e-10 
164 5.7e-10 1.71e-09 5.7e-10 
165 8.55e-10 1.995e-09 5.7e-10 
166 8.55e-10 1.71e-09 8.55e-10 
167 5.7e-10 1.995e-09 8.55e-10 
168 1.14e-09 1.71e-09 5.7e-10 
169 1.425e-09 1.995e-09 5.7e-10 
170 1.425e-09 1.71e-09 8.55e-10 
171 1.14e-09 1.995e-09 8.55e-10 
172 1.71e-09 1.71e-09 5.7e-10 
173 1.995e-09 1.995e-09 5.7e-10 
174 1.995e-09 1.71e-09 8.55e-10 
175 1.71e-09 1.995e-09 8.55e-10 
176 2.28e-09 1.71e-09 5.7e-10 
177 2.565e-09 1.995e-09 5.7e-10 
178 2.565e-09 1.71e-09 8.55e-10 
179 2.28e-09 1.995e-09 8.55e-10 
180 0 2.28e-09 5.7e-10 
181 2.85e-10 2.565e-09 5.7e-10 
182 2.85e-10 2.28e-09 8.55e-10 
183 0 2.565e-09 8.55e-10 
184 5.7e-10 2.28e-09 5.7e-10 
185 8.55e-10 2.565e-09 5.7e-10 
186 8.55e-10 2.28e-09 8.55e-10 
187 5.7e-10 2.565e-09 8.55e-10 
188 1.14e-09 2.28e-09 5.7e-10 
189 1.425e-09 2.565e-09 5.7e-10 
190 1.425e-09 2.28e-09 8.55e-10 
191 1.14e-09 2.565e-09 8.55e-10 
192 1.71e-09 2.28e-09 5.7e-10 
193 1.995e-09 2.565e-09 5.7e-10 
194 1.995e-09 2.28e-09 8.55e-10 
195 1.71e-09 2.565e-09 8.55e-10 
196 2.28e-09 2.28e-09 5.7e-10 
197 2.565e-09 2.565e-09 5.7e-10 
198 2.565e-09 2.28e-09 8.55e-10 
199 2.28e-09 2.565e-09 8.55e-10 
200 0 0 1.14e-09 
201 2.85e-10 2.85e-10 1.14e-09 
202 2.85e-10 0 1.425e-09 
203 0 2.85e-10 1.425e-09 
204 5.7e-10 0 1.14e-09 
205 8.55e-10 2.85e-10 1.14e-09 
206 8.55e-10 0 1.425e-09 
207 5.7e-10 2.85e-10 1.425e-09 
208 1.14e-09 0 1.14e-09 
209 1.425e-09 2.85e-10 1.14e-09 
210 1.425e-09 0 1.425e-09 
211 1.14e-09 2.85e-10 1.425e-09 
212 1.71e-09 0 1.14e-09 
213 1.995e-09 2.85e-10 1.14e-09 
214 1.995e-09 0 1.425e-09 
215 1.71e-09 2.85e-10 1.425e-09 
216 2.28e-09 0 1.14e-09 
217 2.565e-09 2.85e-10 1.14e-09 
218 2.565e-09 0 1.425e-09 
219 2.28e-09 2.85e-10 1.425e-09 
220 0 5.7e-10 1.14e-09 
221 2.85e-10 8.55e-10 1.14e-09 
222 2.85e-10 5.7e-10 1.425e-09 
223 0 8.55e-10 1.425e-09 
224 5.7e-10 5.7e-10 1.14e-09 
225 8.55e-10 8.55e-10 1.14e-09 
226 8.55e-10 5.7e-10 1.425e-09 
227 5.7e-10 8.55e-10 1.425e-09 
228 1.14e-09 5.7e-10 1.14e-09 
229 1.425e-09 8.55e-10 1.14e-09 
230 1.425e-09 5.7e-10 1.425e-09 
231 1.14e-09 8.55e-10 1.425e-09 
232 1.71e-09 5.7e-10 1.14e-09 
233 1.995e-09 8.55e-10 1.14e-09 
234 1.995e-09 5.7e-10 1.425e-09 
235 1.71e-09 8.55e-10 1.425e-09 
236 2.28e-09 5.7e-10 1.14e-09 
237 2.565e-09 8.55e-10 1.14e-09 
238 2.565e-09 5.7e-10 1.425e-09 
239 2.28e-09 8.55e-10 1.425e-09 
240 0 1.14e-09 1.14e-09 
241 2.85e-10 1.425e-09 1.14e-09 
242 2.85e-10 1.14e-09 1.425e-09 
