# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
11900000 972.745 -298.282 101912 -19640.6 669.299
12000000 990.06 -322.964 102004 -19627.5 681.212
12100000 983.951 -433.91 102159 -19618.7 677.009
12200000 975.775 660.366 102094 -19608.5 671.384
12300000 978.268 695.029 101888 -19632.1 673.099
12400000 975.971 -943.308 101898 -19645.7 671.519
12500000 976.88 -1504.38 102089 -19637.2 672.144
12600000 957.947 -1738.99 102084 -19642.7 659.117
12700000 970.21 624.74 101889 -19628.9 667.555
12800000 970.574 291.453 101824 -19640 667.805
12900000 969.57 332.647 101956 -19625.3 667.114
13000000 977.496 -730.562 102048 -19629 672.568
13100000 954.079 1209.73 101954 -19616.6 656.456
13200000 982.418 291.645 101811 -19642.7 675.954
13300000 977.698 1179.92 101837 -19625 672.707
13400000 977.507 -338.572 102014 -19630.9 672.576
13500000 962.028 102.922 101993 -19626.6 661.925
13600000 945.922 267.529 101741 -19639.6 650.843
13700000 967.329 2124.05 101654 -19636.4 665.573
13800000 968.141 -545.864 101887 -19639.8 666.131
13900000 953.795 -1610.2 102038 -19639.7 656.26
14000000 961.276 492.642 101815 -19638.1 661.408
14100000 960.237 695.783 101603 -19657.9 660.692
14200000 957.01 -313.838 101756 -19652.6 658.473
14300000 953.752 -981.936 101973 -19641.3 656.23
14400000 950.623 -895.857 101891 -19648.9 654.078
14500000 955.984 -343.297 101613 -19672.7 657.767
14600000 958.819 636.454 101570 -19664.4 659.717
14700000 942.837 -1796.09 101850 -19660.1 648.721
14800000 943.016 -1098.23 101965 -19645 648.844
14900000 970.757 653.187 101716 -19647.1 667.931
15000000 959.719 1276.67 101494 -19663 660.337
15100000 939.505 -25.1482 101648 -19656.8 646.428
15200000 947.391 -1309.5 101909 -19653.1 651.854
15300000 933.174 -598.811 101820 -19658.5 642.072
15400000 944.963 2083.57 101513 -19648.1 650.184
15500000 958.611 1185.75 101490 -19663.4 659.574
15600000 949.122 362.175 101742 -19648.4 653.045
15700000 958.993 -835.476 101856 -19647.9 659.837
15800000 968.325 471.225 101622 -19660.4 666.258
15900000 943.26 1145.55 101385 -19673.2 649.012
16000000 957.306 181.471 101549 -19675.9 658.676
16100000 932.309 -1516.43 101817 -19662.2 641.477
16200000 929.809 -68.3888 101727 -19656.4 639.757
16300000 931.212 1234.44 101371 -19679 640.722
16400000 937.218 1690.42 101313 -19673.8 644.854
16500000 919.75 -425.062 101680 -19666.7 632.836
16600000 942.303 -1601.52 101845 -19668 648.353
16700000 924.9 505.397 101516 -19672.7 636.379
16800000 951.77 1133.96 101249 -19688.6 654.867
16900000 933.143 1000.47 101414 -19674 642.051
17000000 928.217 -1236.97 101736 -19670.1 638.661
17100000 927.042 -793.413 101672 -19670.5 637.853
17200000 944.63 247.553 101302 -19695 649.954
17300000 923.467 -7.41337 101225 -19704.9 635.393
17400000 913.041 -284.47 101529 -19676.7 628.219
17500000 922.78 -1439.81 101715 -19676.1 634.921
17600000 933.141 -19.7653 101432 -19683.5 642.05
17700000 928.001 910.935 101133 -19696.6 638.513
17800000 923.599 370.518 101312 -19686.6 635.484
17900000 902.884 -1612.56 101661 -19680.1 621.231
18000000 917.114 -1853.39 101567 -19695.1 631.022
18100000 908.058 130.532 101189 -19703.3 624.791
18200000 898.652 1477.23 101114 -19698.3 618.319
18300000 906.727 -990.121 101405 -19701.1 623.875
18400000 926.384 -1111.32 101614 -19678.7 637.4
18500000 933.288 35.7302 101402 -19689.9 642.151
18600000 925.07 718.154 101096 -19705.7 636.496
18700000 918.631 978.584 101150 -19699 632.066
18800000 921.911 -379.846 101426 -19701.6 634.322
18900000 908.004 -2019.73 101454 -19705.8 624.754
19000000 905.435 887.021 101204 -19695.3 622.986
19100000 909.758 1913.51 101075 -19697.1 625.961
19200000 894.932 508.863 101202 -19703.8 615.76
19300000 906.059 -1615.34 101375 -19705.3 623.415
19400000 897.28 -676.208 101301 -19708.3 617.375
19500000 908.007 676.431 101104 -19709.8 624.756
19600000 893.835 322.485 101089 -19709 615.005
19700000 890.109 -643.354 101261 -19711.1 612.441
19800000 919.438 -1150.76 101330 -19710.5 632.621
19900000 906.629 478.336 101179 -19704.6 623.808
20000000 886.669 234.633 101026 -19717.3 610.074
20100000 899.303 359.944 101080 -19717.8 618.767
20200000 902.541 -899.831 101257 -19712.1 620.995
20300000 902.9 -702.699 101245 -19714.3 621.242
20400000 894.06 1219.99 101019 -19704.7 615.16
20500000 884.651 -227.673 100951 -19731 608.685
20600000 898.991 414.36 101108 -19709.3 618.553
20700000 901.542 -1439.09 101261 -19717.8 620.308
20800000 906.578 -67.0321 101133 -19720.5 623.772
20900000 889.2 4.09913 100909 -19735.9 611.815
21000000 891.296 1075.68 100938 -19721.4 613.258
21100000 878.581 -545.305 101139 -19721.4 604.509
21200000 888.787 -521.38 101187 -19710.7 611.532
21300000 891.349 -446.683 100977 -19735.8 613.294
21400000 875.08 835.329 100826 -19737 602.101
21500000 884.852 682.538 100960 -19729.1 608.824
21600000 879.056 -926.392 101154 -19725.9 604.836
21700000 883.202 -810.491 101050 -19732 607.688
21800000 880.907 1687.22 100828 -19722.5 606.11
21900000 881.697 696.022 100810 -19736.5 606.653
22000000 889.33 -889.45 101014 -19740 611.905
22100000 877.674 -784.57 101110 -19732.2 603.885
22200000 884.886 -1121.25 100889 -19752.3 608.848
22300000 879.147 1221.91 100691 -19747.1 604.899
22400000 876.34 310.268 100819 -19742.1 602.967
22500000 891.977 -752.678 101061 -19737.1 613.726
22600000 865.734 -578.446 101014 -19738.9 595.67
22700000 883.637 1076.81 100698 -19746.6 607.988
22800000 870.892 1543.78 100612 -19738.7 599.218
22900000 860.207 -1510.33 100922 -19760.6 591.867
23000000 887.106 -2164.25 101059 -19758.1 610.375
23100000 870.378 -516.943 100778 -19754.2 598.865
23200000 865.64 1024.13 100532 -19762.7 595.605
23300000 871.931 -1057.19 100711 -19774.2 599.934
23400000 870.148 -1069.93 101018 -19745 598.707
23500000 875.942 -1209.33 100912 -19756.2 602.693
23600000 868.497 489.431 100584 -19761.6 597.571
23700000 878.954 958.102 100573 -19765.4 604.766
23800000 867.737 -293.244 100827 -19754.1 597.048
23900000 871.012 -1423.14 100933 -19753.6 599.302
24000000 855.09 718.779 100662 -19753.3 588.346
24100000 854.947 779.213 100413 -19777.5 588.248
24200000 863.638 -221.725 100615 -19768.7 594.227
24300000 861.174 -1618.45 100916 -19757.1 592.532
24400000 861.391 193.081 100820 -19746.2 592.682
24500000 866.595 1102.12 100485 -19764.7 596.262
24600000 851.44 1937.77 100419 -19760.7 585.835
24700000 851.478 533.679 100711 -19747.4 585.861
24800000 869.955 -1302.59 100868 -19760.5 598.574
24900000 864.815 -1010.92 100616 -19779.1 595.038
25000000 853.12 489.171 100352 -19793.2 586.991
25100000 864.805 766.529 100460 -19780.8 595.031
25200000 854.559 -557.619 100745 -19762 587.981
25300000 845.659 -703.266 100723 -19766.9 581.857
25400000 852.354 -103.555 100431 -19789.8 586.463
25500000 836.276 344.925 100335 -19791.6 575.402
25600000 840.749 -62.1692 100565 -19768 578.479
25700000 828.737 -1018.81 100692 -19775.4 570.214
25800000 838.314 -488.57 100517 -19785.3 576.803
25900000 836.208 2048.57 100339 -19763.3 575.354
26000000 831.204 137.355 100415 -19781.1 571.911
26100000 823.197 -714.924 100584 -19780.9 566.402
26200000 836.642 -1149.07 100534 -19790.3 575.653
26300000 828.448 667.255 100336 -19784.1 570.015
26400000 836.946 233.819 100319 -19794.1 575.862
26500000 845.113 -171.298 100488 -19784.2 581.482
26600000 833.064 -1071.22 100506 -19791.4 573.191
26700000 850.178 424.106 100356 -19791.6 584.967
26800000 851.32 897.714 100284 -19792.2 585.752
26900000 840.803 844.999 100398 -19781.1 578.516
27000000 835.843 -1093.27 100467 -19801.8 575.103
27100000 835.723 -1731.73 100317 -19816.1 575.021
27200000 811.095 267.216 100232 -19802.7 558.075
27300000 825.91 -600.145 100337 -19803.5 568.269
27400000 844.818 -256.568 100422 -19792.6 581.279
27500000 818.391 -1031.3 100300 -19811.2 563.095
27600000 834.857 583.951 100155 -19807.9 574.425
27700000 808.459 -165.533 100198 -19811.9 556.262
27800000 816.725 -943.468 100346 -19808.2 561.949
27900000 802.961 -1189.27 100360 -19812.8 552.479
28000000 820.139 413.936 100186 -19804.4 564.298
28100000 833.92 796.254 100087 -19809.3 573.78
28200000 828.424 195.392 100233 -19809.4 569.998
28300000 818.332 532.412 100350 -19790.3 563.054
28400000 819.859 -215.404 100198 -19812.9 564.105
28500000 804.669 1243.6 99987.8 -19817.5 553.654
28600000 816.851 877.201 100058 -19815.9 562.036
28700000 817.14 -41.2985 100308 -19801.1 562.235
28800000 825.995 -1497.81 100309 -19822.9 568.327
28900000 811.467 1052.22 100030 -19821.2 558.331
29000000 815.605 935.093 99916 -19821.3 561.178
29100000 815.353 -234.459 100112 -19818 561.005
29200000 817.056 -659.163 100294 -19806.4 562.177
29300000 798.883 -622.333 100172 -19818.9 549.673
29400000 802.722 166.954 99907 -19841.8 552.314
