# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
0 2000 42357.2 87825.6 -20800.7 1376.1
100 1116.22 76420.4 87825.6 -20189.5 768.02
200 1074.3 78179.1 87825.6 -20151.6 739.177
300 1085 78014.9 87825.6 -20149.4 746.537
400 1102.51 78078.3 87825.7 -20152.6 758.585
500 1100.71 78929.8 87825.7 -20141.2 757.349
600 1114.33 79221.1 87825.8 -20139 766.718
700 1117.2 79774.3 87825.9 -20128.6 768.692
800 1139.1 79784.8 87826 -20130.7 783.76
900 1140.91 80507 87826.1 -20118.5 785.003
1000 1143.33 81136.5 87826.2 -20106.4 786.671
1100 1159.45 81708.9 87826.3 -20103.1 797.763
1200 1168.64 82040.5 87826.5 -20094.7 804.083
1300 1162.88 83190 87826.6 -20075.7 800.121
1400 1177.8 83473.9 87826.8 -20070.5 810.387
1500 1187.03 84242.1 87827 -20061.1 816.739
1600 1205.05 84743 87827.2 -20057.4 829.139
1700 1217.23 85312.8 87827.4 -20049.4 837.52
1800 1244.71 84955.2 87827.6 -20051.6 856.423
1900 1247.21 85977 87827.8 -20036.4 858.148
2000 1255.7 86574.2 87828.1 -20025.1 863.989
2100 1254.16 87775.3 87828.3 -20006.6 862.93
2200 1275.64 88171.6 87828.6 -20003.6 877.704
2300 1300.54 88619.7 87828.9 -20002.9 894.837
2400 1290.93 89799.1 87829.2 -19978.1 888.228
2500 1311.64 90358.6 87829.5 -19974.1 902.476
2600 1331.99 90583.5 87829.9 -19969.5 916.476
2700 1333.4 91939.9 87830.2 -19951.8 917.445
2800 1341.06 92471.4 87830.6 -19938.2 922.721
2900 1368.35 92649.8 87830.9 -19937.9 941.492
3000 1357.59 94197.6 87831.3 -19911.2 934.09
3100 1386.43 94450.5 87831.7 -19911.7 953.937
3200 1398.22 95239.8 87832.2 -19900.3 962.047
3300 1392.12 96464.2 87832.6 -19876.4 957.851
3400 1427.41 96286.1 87833.1 -19880.9 982.132
3500 1439.64 97140.2 87833.5 -19869.3 990.544
3600 1449.86 98128.5 87834 -19856.3 997.576
3700 1484.38 97892.2 87834.5 -19859.8 1021.33
3800 1493.7 99097.8 87835 -19846 1027.74
3900 1493.42 100237 87835.5 -19825.4 1027.55
4000 1495.12 101386 87836.1 -19806.2 1028.72
4100 1528.55 101146 87836.6 -19808.7 1051.72
4200 1532.78 102609 87837.2 -19791.2 1054.63
4300 1545.24 103271 87837.8 -19779 1063.2
4400 1576.49 103340 87838.4 -19779.8 1084.71
4500 1582.19 104479 87839 -19763.1 1088.63
4600 1603.6 104709 87839.7 -19757 1103.36
4700 1614.93 105686 87840.3 -19744.2 1111.16
4800 1619.79 106647 87841 -19726.8 1114.5
4900 1618.21 107654 87841.7 -19705.1 1113.41
5000 1662.75 107604 87842.4 -19715 1144.06
5100 1663.98 108825 87843.1 -19695.2 1144.9
5200 1659.93 109910 87843.9 -19671.9 1142.12
5300 1679.23 110413 87844.6 -19664.6 1155.4
5400 1708.98 111083 87845.4 -19664.6 1175.87
5500 1725.42 111339 87846.2 -19655.4 1187.18
5600 1726.51 112919 87847 -19635.7 1187.93
5700 1708.67 114514 87847.8 -19603.3 1175.65
5800 1739.51 114591 87848.7 -19604.5 1196.88
5900 1756.85 114796 87849.6 -19596.3 1208.8
6000 1751.23 116549 87850.4 -19572.6 1204.94
6100 1758.43 117290 87851.3 -19557.9 1209.89
6200 1803.68 117007 87852.3 -19569.2 1241.02
6300 1791.45 118286 87853.2 -19541.4 1232.61
6400 1818.81 118468 87854.2 -19541 1251.44
6500 1790.11 120622 87855.1 -19502.2 1231.69
6600 1833.26 120400 87856.1 -19513.1 1261.38
6700 1828.19 121280 87857.1 -19491 1257.89
6800 1819.96 122857 87858.2 -19467 1252.22
6900 1859.98 122418 87859.2 -19476.3 1279.76
7000 1853.92 124033 87860.3 -19453.9 1275.6
7100 1851.45 124941 87861.4 -19434.4 1273.89
7200 1855.49 125667 87862.5 -19419.4 1276.67
