# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
11500 1951.23 140300 87907.1 -18790.8 1342.55
11600 1967.07 140815 87908.8 -18785.7 1353.45
11700 1938.6 142680 87910.5 -18750.8 1333.86
11800 1966 141803 87912.3 -18754.7 1352.71
11900 1972.44 143117 87914 -18744.7 1357.14
12000 1998.67 143071 87915.8 -18748.8 1375.19
12100 2015.65 143035 87917.6 -18747.2 1386.87
12200 2041.53 143179 87919.5 -18752.4 1404.68
12300 2030.5 144014 87921.3 -18732.8 1397.09
12400 2038.3 144047 87923.2 -18727 1402.46
12500 2037.44 144529 87925.1 -18716 1401.86
12600 2051.06 144836 87927 -18715.8 1411.23
12700 2037.08 145726 87929 -18697.5 1401.62
12800 2044.36 145638 87931 -18694.6 1406.62
12900 2051.85 146434 87933 -18692.7 1411.78
13000 2057.41 146687 87935 -18690.3 1415.6
13100 2059.29 145968 87937 -18686.2 1416.9
13200 2080.8 146461 87939.1 -18696.7 1431.7
13300 2079.07 146090 87941.2 -18692.1 1430.51
13400 2074.07 146588 87943.3 -18686.4 1427.07
13500 2091.88 146302 87945.4 -18697.4 1439.32
13600 2078.07 146510 87947.6 -18687.7 1429.82
13700 2063.9 147268 87949.7 -18679 1420.07
13800 2068.68 146698 87952 -18684.3 1423.36
13900 2049.08 146447 87954.2 -18673.8 1409.88
14000 2071.85 145660 87956.4 -18693.5 1425.54
14100 2066.99 145464 87958.7 -18695 1422.2
14200 2052.05 145968 87961 -18690.4 1411.92
14300 2073.67 145335 87963.3 -18711.7 1426.79
14400 2036.06 145357 87965.6 -18693 1400.91
14500 2051.36 144945 87968 -18711.3 1411.44
14600 2041.65 144728 87970.4 -18712.8 1404.76
14700 2022.77 144850 87972.8 -18708.4 1391.77
14800 2010.06 144375 87975.2 -18708.6 1383.03
14900 2042.37 142937 87977.7 -18739.8 1405.26
15000 2007.37 143631 87980.2 -18725 1381.18
15100 2028.12 142410 87982.7 -18748.4 1395.45
15200 2011.91 142037 87985.2 -18746.5 1384.3
15300 1999.37 142589 87987.7 -18746.9 1375.67
15400 1980.18 143008 87990.3 -18742.5 1362.46
15500 2008.99 141471 87992.9 -18770.7 1382.29
15600 1978.99 141622 87995.5 -18758.1 1361.65
15700 1953.93 141863 87998.1 -18748.6 1344.41
15800 1953.76 141294 88000.8 -18755.5 1344.29
15900 1950.66 141448 88003.5 -18759.8 1342.15
16000 1943.45 141381 88006.2 -18760.7 1337.19
